time_s,ankle_dorsiflexion_deg,ankle_inversion_deg,joint1_target_deg,joint1_measured_deg,joint1_error_deg,joint1_torque_nm,joint1_goal_tick,joint4_target_deg,joint4_measured_deg,joint4_error_deg,joint4_torque_nm,joint4_goal_tick,joint6_target_deg,joint6_measured_deg,joint6_error_deg,joint6_torque_nm,joint6_goal_tick
17.68,-7.992142409211021,4.4756468725450915,-7.992142409211021,-8.10811406485663,0.11597165564560856,0.00413453132389589,1957,7.872095094597932,7.903513841473803,-0.031418746875870505,-0.0006386333598329824,2138,0.12004731461309126,0.2046002233828305,-0.08455290876973925,-0.0034958979640628673,2049
17.69,-7.963981697189498,4.488178793420297,-7.963981697189498,-8.080148714002256,0.11616701681275886,0.004144876164802756,1957,7.868867700423315,7.900539375518227,-0.03167167509491159,-0.0006494370197718926,2138,0.0951139967661857,0.1796093384840327,-0.08449534171784702,-0.0034954391450306706,2049
17.7,-7.935742383883828,4.500666417782755,-7.935742383883828,-8.052103632725968,0.11636124884214143,0.0041551800988242045,1958,7.865562643701286,7.897486948953853,-0.03192430525256763,-0.0006602342711772222,2137,0.07017974018254479,0.15461668377212015,-0.08443694358957538,-0.003494945827647278,2049
17.71,-7.907424748004602,4.513109622384668,-7.907424748004602,-8.023979097811445,0.11655434980684265,0.004165443024273056,1958,7.862179957051418,7.894356591898579,-0.03217663484716221,-0.0006710250074836973,2137,0.04524479095318669,0.12962250591286748,-0.0843777149596808,-0.0034944180167896218,2049
17.72,-7.879029069035486,4.525508284416619,-7.879029069035486,-7.995775386826541,0.11674631779105542,0.004175664839848422,1958,7.858719673859466,7.89114833523946,-0.03242866137999273,-0.0006818091221898817,2137,0.020309395176022656,0.10462705158708455,-0.0843176564110619,-0.003493855717658238,2048
17.73,-7.850555627230335,4.53786228150883,-7.850555627230335,-7.967492778120557,0.11693715089022223,0.004185845444673678,1959,7.855181828277024,7.88786221063238,-0.03268038235535586,-0.0006925865088623709,2137,-0.004626201046687472,0.07963056748817889,-0.08425676853486637,-0.0034932589358114092,2048
17.740000000000002,-7.822004703610541,4.550171491732332,-7.822004703610541,-7.939131550821484,0.117126847210943,0.0041959847382634086,1959,7.851566455221205,7.8844982505017605,-0.03293179528055706,-0.0007033570611293108,2137,-0.02956175161066021,0.054633300319722716,-0.08419505193038293,-0.0034926276771335817,2048
17.75,-7.793376579962208,4.562435793600183,-7.793376579962208,-7.910691984833255,0.11731540487104657,0.004206082620543049,1959,7.847873590374278,7.881056488040238,-0.03318289766595991,-0.0007141206726902468,2137,-0.0544970104120661,0.029635496793018995,-0.0841325072050851,-0.0034919619478521054,2047
17.76,-7.764671538833331,4.574655066068687,-7.764671538833331,-7.88217436083298,0.11750282199964955,0.004216138991857973,1960,7.844103270183327,7.877536957208319,-0.03343368702499245,-0.0007248772373131297,2137,-0.07943173134999307,0.004637403624663993,-0.08406913497465705,-0.00349126175454491,2047
17.77,-7.735889863531096,4.586829188538549,-7.735889863531096,-7.853578960268178,0.11768909673708164,0.0042261537529494535,1960,7.840255531859892,7.8739396927340675,-0.03368416087417421,-0.0007356266488329948,2137,-0.1043656683287936,-0.020360732465885826,-0.08400493586290778,-0.0034905271041166634,2047
17.78,-7.707031838119008,4.598958040856101,-7.707031838119008,-7.824906065353992,0.11787422723498414,0.0042361268049781265,1960,7.836330413379598,7.870264730112744,-0.033934316733146445,-0.0007463688011568282,2137,-0.12929857526058797,-0.045358664758749945,-0.08393991050183801,-0.0034897580038215307,2047
17.79,-7.678097747414145,4.611041503314457,-7.678097747414145,-7.796155959070412,0.1180582116562671,0.004246058049508148,1961,7.832327953481779,7.866512105606471,-0.03418415212469121,-0.0007571035882633394,2137,-0.15423020606763121,-0.07035614653605714,-0.08387405953157408,-0.003488954461244767,2046
17.8,-7.649087876984275,4.623079456654735,-7.649087876984275,-7.767328925159478,0.11824104817520306,0.004255947388529688,1961,7.828248191669096,7.862681856243863,-0.03443366457476633,-0.0007678309042047117,2137,-0.17916031468481874,-0.09535293108438295,-0.08380738360043578,-0.0034881164843246146,2046
17.81,-7.6200025131451365,4.6350717820671825,-7.6200025131451365,-7.73842524812248,0.11842273497734443,0.004265794724428885,1961,7.824091168207154,7.858774019819663,-0.03468285161250859,-0.0007785506431054242,2137,-0.2040886550620176,-0.12034877169718225,-0.08373988336483534,-0.0034872440813238014,2046
17.82,-7.590841942957496,4.647018361192401,-7.590841942957496,-7.709445213217149,0.11860327025965382,0.004275599960025409,1962,7.819856924124097,7.854788634894377,-0.03493171077027989,-0.0007892626991648803,2137,-0.2290149811665982,-0.14534342167722647,-0.08367155948937173,-0.0034863372608600887,2045
17.830000000000002,-7.561606454224425,4.658919076122473,-7.561606454224425,-7.680389106454846,0.11878265223042143,0.004285362998538804,1962,7.815545501210199,7.850725740793884,-0.035180239583684686,-0.0007999669666599336,2137,-0.25393904698577213,-0.17033663433903704,-0.08360241264673511,-0.0034853960318787336,2045
17.84,-7.532296335488412,4.670773809402138,-7.532296335488412,-7.651257214597734,0.11896087910932224,0.00429508374360723,1962,7.811156942017472,7.8465853776090535,-0.035428435591581126,-0.0008106633399411296,2137,-0.27886060652905775,-0.1953281630113189,-0.08353244351773885,-0.00348442040366574,2045
17.85,-7.502911876028462,4.682582444029978,-7.502911876028462,-7.62204982515595,0.11913794912748756,0.004304762099299858,1963,7.806691289859215,7.842367586195349,-0.03567629633613357,-0.000821351713441729,2137,-0.3037794138307507,-0.22031776103939768,-0.08346165279135297,-0.003483410385858106,2045
17.86,-7.473453365857352,4.694344863459527,-7.473453365857352,-7.592767226384769,0.11931386052741763,0.004314397970086931,1963,7.802148588809617,7.838072408172423,-0.035923819362806184,-0.0008320319816690945,2137,-0.3286952229522632,-0.2453051817876522,-0.08339004116461106,-0.003482365988417917,2044
17.87,-7.443921095718676,4.706060951600459,-7.443921095718676,-7.563409707281756,0.11948861156308017,0.004323991260868091,1963,7.797528883703303,7.833699885923708,-0.03617100222040432,-0.0008427040392130925,2137,-0.35360778798462505,-0.27029017864194904,-0.083317609342676,-0.003481287221655188,2044
17.88,-7.414315357084016,4.71773059281971,-7.414315357084016,-7.533977557583915,0.11966220049989926,0.004333541876960993,1964,7.792832220134896,7.829250062595995,-0.03641784246109994,-0.0008533677807444091,2137,-0.37851686305087723,-0.2952725050120771,-0.08324435803880016,-0.0034801740962168387,2044
17.89,-7.384636442150057,4.72935367194264,-7.384636442150057,-7.504471067764832,0.11983462561477438,0.004343049724105183,1964,7.78805864445857,7.824722982099015,-0.03666433764044435,-0.0008640231010153109,2137,-0.40342220230851017,-0.32025191433418104,-0.0831702879743291,-0.0034790266230900176,2043
17.900000000000002,-7.354884643835709,4.740930074254145,-7.354884643835709,-7.474890529031798,0.12000588519608847,0.0043525147084599695,1964,7.783208203787588,7.820118689104996,-0.03691048531740795,-0.000874669894862035,2137,-0.4283235599518755,-0.34522816007319507,-0.08309539987868039,-0.003477844813597983,2043
17.91,-7.325060255779232,4.752459685499802,-7.325060255779232,-7.4452362333229525,0.12017597754372056,0.0043619367366037,1965,7.778280945993847,7.81543722904823,-0.03715628305438341,-0.000885308057202501,2136,-0.4532206902146117,-0.37020099572527415,-0.08301969448933753,-0.003476628679401036,2043
17.92,-7.29516357233526,4.763942391887014,-7.29516357233526,-7.415508473304387,0.12034490096912687,0.004371315715554108,1965,7.773276919707384,7.81067864812462,-0.03740172841723659,-0.0008959374830447772,2136,-0.47811334737212113,-0.3951701748202299,-0.08294317255189121,-0.003475378232509734,2043
17.93,-7.265194888572022,4.775378080086092,-7.265194888572022,-7.385707542367263,0.12051265379524066,0.00438065155273413,1965,7.768196174315925,7.805842993291227,-0.03764681897530171,-0.0009065580674769147,2136,-0.5030012857439007,-0.42013545092396076,-0.08286583481993995,-0.003474093485257424,2042
17.94,-7.235154500268296,4.786766637231426,-7.235154500268296,-7.355833734624913,0.120679234356617,0.004389944156011671,1966,7.763038759964372,7.800930312265804,-0.03789155230143071,-0.0009171697056797419,2136,-0.5278842596960732,-0.44509657764088617,-0.08278768205518708,-0.0034727744503318956,2042
17.95,-7.2050427039106095,4.798107950922542,-7.2050427039106095,-7.325887344909942,0.12084464099933243,0.004399193433663882,1966,7.757804727554324,7.795940653526324,-0.03813592597199957,-0.0009277722929192421,2136,-0.5527620236437113,-0.47005330861637695,-0.08270871502733433,-0.00347142114074496,2042
17.96,-7.174859796690228,4.809401909225257,-7.174859796690228,-7.295868668771314,0.12100887208108528,0.004408399294406558,1966,7.752494128743567,7.790874066310506,-0.03837993756693855,-0.0009383657245510138,2136,-0.5776343320533351,-0.4950053975391872,-0.08262893451414792,-0.0034700335698555525,2041
17.97,-7.144606076500264,4.820648400672764,-7.144606076500264,-7.265778002471437,0.12117192597117336,0.004417561647379667,1967,7.747107015945569,7.785730600615328,-0.03862358466975921,-0.0009489498960216954,2136,-0.6025009394453025,-0.5199525981438854,-0.08254834130141694,-0.0034686117513582993,2041
17.98,-7.114281841932709,4.8318473142667315,-7.114281841932709,-7.235615642983241,0.12133380105053135,0.004426680402156973,1967,7.741643442328955,7.780510307196531,-0.03886686486757667,-0.0009595247028702852,2136,-0.6273616003962431,-0.5448946642132854,-0.08246693618295767,-0.003467155699287213,2041
17.990000000000002,-7.0838873922755345,4.842998539478401,-7.0838873922755345,-7.2053818879872376,0.12149449571170293,0.004435755468733933,1967,7.736103461816994,7.775213237568116,-0.039109775751122365,-0.0009700900407251219,2136,-0.6522160695414579,-0.5698313495808749,-0.08238471996058296,-0.0034656654280092315,2041
18.0,-7.05342302750968,4.854101966249683,-7.05342302750968,-7.175077035868597,0.12165400835891714,0.004444786757545487,1968,7.7304871290870585,7.769839444001847,-0.039352314914788515,-0.0009806458053106606,2136,-0.6770641015773756,-0.5947624081332464,-0.08230169344412921,-0.003464140952234509,2040
18.01,-7.022889048306116,4.865157484994242,-7.022889048306116,-7.144701385714188,0.12181233740807249,0.004453774179458029,1968,7.72479449957008,7.764388979526718,-0.03959447995663773,-0.0009911918924466493,2136,-0.7019054512639605,-0.6196875938125262,-0.08221785745143415,-0.003462582287011129,2040
18.02,-6.992285756022918,4.876164986598562,-6.992285756022918,-7.114255237309639,0.12196948128672022,0.0044627176457607,1968,7.71902562945002,7.758861897928443,-0.039836268478423635,-0.0010017281980440173,2136,-0.7267398734270986,-0.6446066606188019,-0.08213321280829669,-0.0034609894477163373,2040
18.03,-6.961613452702191,4.887124362423056,-6.961613452702191,-7.083738891136367,0.12212543843417568,0.004471617068194863,1969,7.713180575663289,7.753258253748922,-0.04007767808563224,-0.001012254618116346,2136,-0.7515671229610944,-0.6695193626125514,-0.08204776034854294,-0.0034593624500782612,2039
18.04,-6.930872441067213,4.8980355043031025,-6.930872441067213,-7.053152648368625,0.12228020730141254,0.004480472358917929,1969,7.707259395898217,7.747578102285697,-0.040318706387480356,-0.0010227710487686814,2136,-0.7763869548310005,-0.69442545391707,-0.08196150091393048,-0.003457701310148934,2039
18.05,-6.900063024519345,4.908898304550139,-6.900063024519345,-7.022496810870517,0.12243378635117248,0.004489283430534608,1970,7.701262148594452,7.741821499591414,-0.040559350996963284,-0.0010332773862087984,2136,-0.8011991240751042,-0.7193246887208963,-0.08187443535420781,-0.003456006044325592,2039
18.06,-6.869185507135096,4.919712655952712,-6.869185507135096,-6.991771681193029,0.12258617405793269,0.004498050196080914,1970,7.695188892942407,7.735988502473269,-0.04079960953086277,-0.00104377352674208,2136,-0.8260033858073085,-0.7442168212802392,-0.08178656452706924,-0.0034542766693386583,2039
18.07,-6.838240193663084,4.930478451777542,-6.838240193663084,-6.960977562571034,0.12273736890795031,0.004506772569035116,1970,7.689039688882661,7.73007916849244,-0.04103947960977882,-0.0010542593667760896,2135,-0.8507994952195737,-0.7691016059214039,-0.08169788929816979,-0.003452513202258683,2038
18.080000000000002,-6.807227389521078,4.941195585770564,-6.807227389521078,-6.930114758920308,0.12288736939922905,0.004515450463304739,1971,7.682814597105378,7.724093555963523,-0.041278958858145615,-0.0010647348028186166,2135,-0.8755872075842951,-0.793978797043214,-0.08160841054108116,-0.003450715660485832,2038
18.09,-6.776147400792927,4.951863952157996,-6.776147400792927,-6.899183574834522,0.12303617404159477,0.004524083793244553,1971,7.676513679049696,7.7180317239539615,-0.04151804490426486,-0.0010751997314809181,2135,-0.9003662782567676,-0.8188481491194382,-0.08151812913732952,-0.003448884061763858,2038
18.1,-6.745000534225562,4.962483445647372,-6.745000534225562,-6.8681843155822415,0.12318378135667953,0.004532672473648407,1971,7.670136996903137,7.711893732283457,-0.04175673538032016,-0.001085654049477575,2135,-0.9251364626775732,-0.8437094167012127,-0.08142704597636045,-0.0034470184241710503,2037
